Delta	R1_a_rr	R2_a_rr	R3_a_rr	R1_p_rr	R2_p_rr	R3_p_rr
0.006	0.124004676469457	0.177574359247519	0.715492531676374	0.636564343722941	0.847027556496887	0.946946463334382
0.0061	0.124756081678554	0.182392579697095	0.715870604783296	0.635111320867012	0.84768254527437	0.947066582034797
0.0062	0.125599822838492	0.191075357472237	0.716562079419205	0.632727735414463	0.846993650167292	0.94642457689931
0.0063	0.127248553987876	0.194773104874725	0.718454966483654	0.630953687118655	0.846491699737214	0.946114171561555
0.0064	0.128607506434286	0.196913491543413	0.718833312953965	0.630477929861524	0.846443312207479	0.946638465780183
0.0065	0.129754180563581	0.203148065407956	0.721745808747797	0.629820363955796	0.853710574832485	0.947808906100338
0.0066	0.132494409469799	0.209362213646304	0.723018485903676	0.629092966569772	0.855336878711594	0.948293941017877
0.0067	0.134103944564392	0.212200128325755	0.723692065041807	0.625829472091678	0.853224057708751	0.947397951519892
0.0068	0.135257487116664	0.21850555223297	0.723990860947468	0.625405448645645	0.853274657915213	0.947223855144121
0.0069	0.136148665994599	0.222678585893077	0.725669325859032	0.624186595975294	0.852788761239813	0.946900408302435
0.007	0.136148665994599	0.225568357361657	0.726195047946919	0.623245150222857	0.852738349878582	0.946724114996758
0.0071	0.137441447912659	0.230421527291493	0.728749067635109	0.621544966249108	0.853002911055084	0.947079200154547
0.0072	0.138263976843892	0.236489304318319	0.73068101015338	0.621698613470928	0.853905880847591	0.947300218337727
0.0073	0.139895948246633	0.24505523969575	0.73297723893477	0.620086683357257	0.853231527640836	0.94704473807355
0.0074	0.141679996146108	0.248971369302841	0.733174053090033	0.618693416073208	0.858362118318204	0.947894066936869
0.0075	0.142173015175891	0.253027999272702	0.735243351619852	0.618610977445703	0.857989847213641	0.947473533921327
0.0076	0.144646796345244	0.261185341222492	0.738176802571227	0.6169572606445	0.856879369328501	0.946921335942103
0.0077	0.14614179444229	0.264324468219379	0.738486948737061	0.615620230455919	0.856746710502414	0.946664797780453
0.0078	0.146800368665707	0.265187771501311	0.73773362628581	0.613861175827777	0.856952810141307	0.947039118617105
0.0079	0.148118666706122	0.274759209294777	0.740073921918871	0.613519186577373	0.857018783312638	0.946943749852343
0.00800000000000001	0.149493757565849	0.282361543489142	0.741344712774595	0.612114112495063	0.855906629585738	0.946337747050405
0.0081	0.150001888744487	0.284037386541096	0.741538608941003	0.611707506681894	0.856232397118813	0.946450346333964
0.0082	0.150271940002225	0.288341016905272	0.744004141702686	0.611280944389646	0.857072980838272	0.946680365334452
0.00829999999999999	0.151724336703553	0.293910979712006	0.744775874836861	0.610127836091387	0.856093263497225	0.946008830898338
0.0084	0.151724336703553	0.295254125243185	0.744969721842303	0.608656488646888	0.855565329141345	0.945586818616295
0.00850000000000001	0.152955712963556	0.298868431710355	0.746668544922083	0.607127095199884	0.853967642412549	0.944991906224576
0.0086	0.154796312760506	0.306524921312617	0.748329798220667	0.606809256689392	0.860513281707097	0.946432577158631
0.00869999999999999	0.156286180397324	0.314820760123071	0.750303005330314	0.605175141449138	0.859276980656931	0.94595056106982
0.00879999999999999	0.158358104508851	0.323373773421587	0.752880438756094	0.604919207104681	0.85951789514365	0.945933866574612
0.0089	0.159508676642106	0.325548505796351	0.752609664128366	0.604433034778955	0.859154144607046	0.945734833038023
0.00900000000000001	0.160686005003067	0.330913391160506	0.753063066847769	0.60254722587338	0.857766307782555	0.945096929340906
