Delta	agency	region	item	verbed_by	RRact	numiterations
0.006	good_agent	verb_by	1	accused_by	0.1266351777357	22
0.006	good_agent	verb_by	2	arrested_by	0.11421273626824	20
0.006	good_agent	verb_by	3	carried_by	0.100562958756935	19
0.006	good_agent	verb_by	4	convicted_by	0.141602616102366	24
0.006	good_agent	verb_by	5	cured_by	0.155346275922599	28
0.006	good_agent	verb_by	6	entertained_by	0.112011897831681	20
0.006	good_agent	verb_by	7	evaluated_by	0.160313852227263	29
0.006	good_agent	verb_by	8	fired_by	0.110713206341115	20
0.006	good_agent	verb_by	9	frightened_by	0.124346549259902	22
0.006	good_agent	verb_by	10	graded_by	0.141888453874241	24
0.006	good_agent	verb_by	11	hired_by	0.119524215931442	21
0.006	good_agent	verb_by	12	hypnotized_by	0.111429881006329	19
0.006	good_agent	verb_by	13	instructed_by	0.129860266952462	22
0.006	good_agent	verb_by	14	interrogated_by	0.100934276156817	19
0.006	good_agent	verb_by	15	interviewed_by	0.102362695802171	20
0.006	good_agent	verb_by	16	invited_by	0.127641500248071	22
0.006	good_agent	verb_by	17	questioned_by	0.119623832331055	21
0.006	good_agent	verb_by	18	rescued_by	0.136461370530648	25
0.006	good_agent	verb_by	19	sentenced_by	0.138770369623869	24
0.006	good_agent	verb_by	20	served_by	0.107526002357441	20
0.006	good_agent	verb_by	21	shot_by	0.118794864703307	20
0.006	good_agent	verb_by	22	slaughtered_by	0.128292268525698	23
0.006	good_agent	verb_by	23	terrorized_by	0.135099273769276	24
0.006	good_agent	verb_by	24	tortured_by	0.140806397485274	24
0.006	good_agent	verb_by	25	captured_by	0.131734672177673	22
0.006	good_agent	verb_by	26	chased_by	0.108539537252563	20
0.006	good_agent	verb_by	27	devoured_by	0.116373698595425	22
0.006	good_agent	verb_by	28	dismissed_by	0.109195504378992	19
0.006	good_agent	verb_by	29	examined_by	0.1084292869952	20
0.006	good_agent	verb_by	30	executed_by	0.178829409815211	30
0.006	good_agent	verb_by	31	investigated_by	0.126047071817088	23
0.006	good_agent	verb_by	32	kicked_by	0.113908314844276	21
0.006	good_agent	verb_by	33	lectured_by	0.106235183548968	20
0.006	good_agent	verb_by	34	lifted_by	0.104477109838638	19
0.006	good_agent	verb_by	35	punished_by	0.154007582862464	26
0.006	good_agent	verb_by	36	recognized_by	0.123693671950799	22
0.006	good_agent	verb_by	37	searched_by	0.0916566090485221	17
0.006	good_agent	verb_by	38	studied_by	0.117885232273759	21
0.006	good_agent	verb_by	39	taught_by	0.114608766590692	20
0.006	good_agent	verb_by	40	worshipped_by	0.149804467044111	27
0.006	good_agent	agentNP	1	accused_by	0.17573574514238	34
0.006	good_agent	agentNP	2	arrested_by	0.16403142965887	31
0.006	good_agent	agentNP	3	carried_by	0.14880507536866	27
0.006	good_agent	agentNP	4	convicted_by	0.235868064490082	44
0.006	good_agent	agentNP	5	cured_by	0.269902541490466	47
0.006	good_agent	agentNP	6	entertained_by	0.184815872068581	36
0.006	good_agent	agentNP	7	evaluated_by	0.560910597777466	74
0.006	good_agent	agentNP	8	fired_by	0.173793299837041	31
0.006	good_agent	agentNP	9	frightened_by	0.213545638752258	37
0.006	good_agent	agentNP	10	graded_by	0.14262607237393	27
0.006	good_agent	agentNP	11	hired_by	0.172772227620739	34
0.006	good_agent	agentNP	12	hypnotized_by	0.139890830703811	25
0.006	good_agent	agentNP	13	instructed_by	0.199523307319804	36
0.006	good_agent	agentNP	14	interrogated_by	0.191573898512032	32
0.006	good_agent	agentNP	15	interviewed_by	0.121412469589208	23
0.006	good_agent	agentNP	16	invited_by	0.0762645787991066	15
0.006	good_agent	agentNP	17	questioned_by	0.168547162498581	30
0.006	good_agent	agentNP	18	rescued_by	0.169066425820155	33
0.006	good_agent	agentNP	19	sentenced_by	0.185430466504788	31
0.006	good_agent	agentNP	20	served_by	0.13517837495536	23
0.006	good_agent	agentNP	21	shot_by	0.096745953465805	20
0.006	good_agent	agentNP	22	slaughtered_by	0.15555997359968	27
0.006	good_agent	agentNP	23	terrorized_by	0.150781494100015	29
0.006	good_agent	agentNP	24	tortured_by	0.107922244543237	21
0.006	good_agent	agentNP	25	captured_by	0.183787496334466	31
0.006	good_agent	agentNP	26	chased_by	0.115916483099326	20
0.006	good_agent	agentNP	27	devoured_by	0.150071890635165	27
0.006	good_agent	agentNP	28	dismissed_by	0.119665363958117	21
0.006	good_agent	agentNP	29	examined_by	0.190955047187042	33
0.006	good_agent	agentNP	30	executed_by	0.194698931361501	36
0.006	good_agent	agentNP	31	investigated_by	0.195220964521	35
0.006	good_agent	agentNP	32	kicked_by	0.107136141931121	18
0.006	good_agent	agentNP	33	lectured_by	0.13515943401419	24
0.006	good_agent	agentNP	34	lifted_by	0.154222621257319	29
0.006	good_agent	agentNP	35	punished_by	0.253692279303689	47
0.006	good_agent	agentNP	36	recognized_by	0.170065935530191	33
0.006	good_agent	agentNP	37	searched_by	0.161313602274919	28
0.006	good_agent	agentNP	38	studied_by	0.139880450531841	27
0.006	good_agent	agentNP	39	taught_by	0.154917889455336	31
0.006	good_agent	agentNP	40	worshipped_by	0.335566093513493	56
0.006	good_agent	mainVerb	1	accused_by	0.733375301768265	46
0.006	good_agent	mainVerb	2	arrested_by	0.719547406804048	47
0.006	good_agent	mainVerb	3	carried_by	0.707207330937689	50
0.006	good_agent	mainVerb	4	convicted_by	0.763091754183298	40
0.006	good_agent	mainVerb	5	cured_by	0.776758315642642	38
0.006	good_agent	mainVerb	6	entertained_by	0.737958164720186	45
0.006	good_agent	mainVerb	7	evaluated_by	0.818227014582861	31
