Delta	R1_a	R2_a	R3_a	R1_p	R2_p	R3_p
0.006	22.025	31.575	48.35	40.35	19.25	9.525
0.0061	21.95	31.325	47.275	40.1	19.025	9.275
0.0062	21.875	31.975	46.55	39.925	19.025	9.2
0.0063	21.725	32.1	45.525	39.725	18.875	9.15
0.0064	21.6	32.175	44.625	39.525	18.725	9
0.0065	21.5	32.15	43.675	39.35	18.9	8.675
0.0066	21.25	32.9	42.75	39.125	18.875	8.425
0.0067	21.1	33.05	41.9	38.9	18.725	8.45
0.0068	21	33.325	41.425	38.75	18.65	8.325
0.0069	20.925	33	40.5	38.575	18.525	8.3
0.007	20.925	32.825	39.85	38.425	18.375	8.225
0.0071	20.8	32.925	38.875	38.2	18.375	8
0.0072	20.725	33.15	38.15	38.05	18.125	7.9
0.0073	20.575	33.575	37.4	37.825	17.925	7.875
0.0074	20.425	33.6	36.75	37.6	18.15	7.75
0.0075	20.375	33.3	36.025	37.45	17.975	7.625
0.0076	20.175	33.925	35.2	37.25	17.85	7.575
0.0077	20.05	33.975	34.65	37.15	17.9	7.475
0.0078	20	34	34.4	36.875	18	7.4
0.0079	19.875	34.35	33.6	36.725	17.85	7.325
0.00800000000000001	19.75	34.55	33.075	36.525	17.525	7.225
0.0081	19.7	34.325	32.675	36.3	17.5	7.175
0.0082	19.675	34.05	31.925	36.15	17.2	7.15
0.00829999999999999	19.55	34.325	31.425	35.975	17.075	7.05
0.0084	19.55	34.2	31	35.775	17.1	6.95
0.00850000000000001	19.45	34.25	30.525	35.675	16.95	7
0.0086	19.3	34.2	29.9	35.475	17.175	6.775
0.00869999999999999	19.175	34.7	29.475	35.2	17.075	6.75
0.00879999999999999	19	34.825	28.8	35	16.875	6.675
0.0089	18.9	34.825	28.425	34.95	16.85	6.675
0.00900000000000001	18.8	35.15	28.025	34.675	16.775	6.625
